,task,block,trial,key_pressed,timestamp,coordinate,rt
168,nav,2,4,left,2021-10-07 13:50:19.632513-07:00,"(1.0, 3.0)",522.3870000000001
169,nav,2,5,start,2021-10-07 13:50:20.693411-07:00,"(1.0, 1.0)",0
170,nav,2,5,right,2021-10-07 13:50:31.081001-07:00,"(2.0, 1.0)",10387.59
171,nav,2,5,right,2021-10-07 13:50:31.237085-07:00,"(3.0, 1.0)",156.084
172,nav,2,5,right,2021-10-07 13:50:31.347300-07:00,"(4.0, 1.0)",110.21499999999999
173,nav,2,5,right,2021-10-07 13:50:31.860873-07:00,"(5.0, 1.0)",513.573
174,nav,2,5,down,2021-10-07 13:50:32.099654-07:00,"(5.0, 2.0)",238.781
175,nav,2,5,down,2021-10-07 13:50:32.234301-07:00,"(5.0, 3.0)",134.647
176,nav,2,5,left,2021-10-07 13:50:32.501668-07:00,"(4.0, 3.0)",267.367
177,nav,2,5,left,2021-10-07 13:50:32.644679-07:00,"(3.0, 3.0)",143.011
178,nav,2,5,left,2021-10-07 13:50:33.259630-07:00,"(2.0, 3.0)",614.951
179,nav,2,5,down,2021-10-07 13:50:33.444422-07:00,"(2.0, 4.0)",184.792
180,nav,2,5,down,2021-10-07 13:50:33.579798-07:00,"(2.0, 5.0)",135.376
181,nav,2,6,start,2021-10-07 13:50:34.646267-07:00,"(1.0, 1.0)",0
182,nav,2,6,right,2021-10-07 13:50:44.941825-07:00,"(2.0, 1.0)",10295.557999999999
183,nav,2,6,down,2021-10-07 13:50:45.316226-07:00,"(2.0, 2.0)",374.401
184,nav,2,6,down,2021-10-07 13:50:45.492135-07:00,"(2.0, 3.0)",175.90900000000002
185,nav,2,6,down,2021-10-07 13:50:45.618804-07:00,"(2.0, 4.0)",126.669
186,nav,2,6,left,2021-10-07 13:50:45.811509-07:00,"(1.0, 4.0)",192.70499999999998
187,nav,2,6,down,2021-10-07 13:50:46.054874-07:00,"(1.0, 5.0)",243.365
188,nav,2,6,down,2021-10-07 13:50:46.236444-07:00,"(1.0, 6.0)",181.57000000000002
189,nav,2,7,start,2021-10-07 13:50:47.301651-07:00,"(1.0, 1.0)",0
190,nav,2,7,right,2021-10-07 13:50:52.658862-07:00,"(2.0, 1.0)",5357.211
191,nav,2,7,down,2021-10-07 13:50:52.882928-07:00,"(2.0, 2.0)",224.06599999999997
192,nav,2,7,down,2021-10-07 13:50:53.034188-07:00,"(2.0, 3.0)",151.26000000000002
193,nav,2,7,right,2021-10-07 13:50:53.277137-07:00,"(3.0, 3.0)",242.949
194,nav,2,7,right,2021-10-07 13:50:53.420538-07:00,"(4.0, 3.0)",143.401
195,nav,2,7,up,2021-10-07 13:50:53.596050-07:00,"(4.0, 2.0)",175.512
196,nav,2,7,up,2021-10-07 13:50:53.722413-07:00,"(4.0, 1.0)",126.363
197,nav,2,7,right,2021-10-07 13:50:53.955913-07:00,"(5.0, 1.0)",233.5
198,nav,2,7,right,2021-10-07 13:50:54.133178-07:00,"(6.0, 1.0)",177.26500000000001
199,nav,2,7,right,2021-10-07 13:50:54.296164-07:00,"(7.0, 1.0)",162.986
200,nav,2,7,right,2021-10-07 13:50:54.434066-07:00,"(8.0, 1.0)",137.902
201,nav,2,7,right,2021-10-07 13:50:55.519527-07:00,"(9.0, 1.0)",1085.461
202,nav,2,8,start,2021-10-07 13:50:56.594682-07:00,"(1.0, 1.0)",0
203,nav,2,8,right,2021-10-07 13:51:07.140838-07:00,"(2.0, 1.0)",10546.155999999999
204,nav,2,8,right,2021-10-07 13:51:07.223911-07:00,"(3.0, 1.0)",83.073
205,nav,2,8,right,2021-10-07 13:51:07.382488-07:00,"(4.0, 1.0)",158.577
206,nav,2,8,down,2021-10-07 13:51:07.626360-07:00,"(4.0, 2.0)",243.872
207,nav,2,8,down,2021-10-07 13:51:07.782487-07:00,"(4.0, 3.0)",156.12699999999998
208,nav,2,8,down,2021-10-07 13:51:07.918174-07:00,"(4.0, 4.0)",135.687
209,nav,2,8,down,2021-10-07 13:51:08.071810-07:00,"(4.0, 5.0)",153.636
210,nav,2,8,down,2021-10-07 13:51:08.227871-07:00,"(4.0, 6.0)",156.061
211,nav,2,8,down,2021-10-07 13:51:09.326752-07:00,"(4.0, 7.0)",1098.881
212,nav,2,8,right,2021-10-07 13:51:09.614812-07:00,"(5.0, 7.0)",288.06
213,nav,2,8,right,2021-10-07 13:51:09.771864-07:00,"(6.0, 7.0)",157.052
214,quiz,2,1,,,"(6.0, 5.0)",
215,quiz,2,2,,,"(5.0, 5.0)",
216,quiz,2,3,,,"(5.0, 5.0)",
217,quiz,2,4,,,"(5.0, 4.0)",
218,quiz,2,5,,,"(5.0, 5.0)",
219,quiz,2,6,,,"(5.0, 5.0)",
220,quiz,2,7,,,"(5.0, 5.0)",
221,quiz,2,8,,,"(4.0, 5.0)",
222,nav,3,1,start,2021-10-07 13:52:37.235153-07:00,"(1.0, 1.0)",0
223,nav,3,1,right,2021-10-07 13:53:27.669103-07:00,"(2.0, 1.0)",50433.950000000004
224,nav,3,1,right,2021-10-07 13:53:28.005160-07:00,"(3.0, 1.0)",336.057
225,nav,3,1,right,2021-10-07 13:53:28.156484-07:00,"(4.0, 1.0)",151.32399999999998
226,nav,3,1,right,2021-10-07 13:53:28.305935-07:00,"(5.0, 1.0)",149.451
227,nav,3,1,down,2021-10-07 13:53:28.536501-07:00,"(5.0, 2.0)",230.566
228,nav,3,1,down,2021-10-07 13:53:28.692419-07:00,"(5.0, 3.0)",155.918
229,nav,3,1,left,2021-10-07 13:53:28.980987-07:00,"(4.0, 3.0)",288.568
230,nav,3,1,left,2021-10-07 13:53:29.139677-07:00,"(3.0, 3.0)",158.69
231,nav,3,1,left,2021-10-07 13:53:29.275281-07:00,"(2.0, 3.0)",135.604
232,nav,3,1,down,2021-10-07 13:53:29.474798-07:00,"(2.0, 4.0)",199.517
233,nav,3,1,down,2021-10-07 13:53:29.660189-07:00,"(2.0, 5.0)",185.391
234,nav,3,2,start,2021-10-07 13:53:30.756040-07:00,"(1.0, 1.0)",0
235,nav,3,2,right,2021-10-07 13:53:31.390193-07:00,"(2.0, 1.0)",634.153
236,nav,3,2,right,2021-10-07 13:53:31.522634-07:00,"(3.0, 1.0)",132.441
237,nav,3,2,right,2021-10-07 13:53:31.650257-07:00,"(4.0, 1.0)",127.62299999999999
238,nav,3,2,down,2021-10-07 13:53:31.988353-07:00,"(4.0, 2.0)",338.096
239,nav,3,2,down,2021-10-07 13:53:32.121687-07:00,"(4.0, 3.0)",133.334
240,nav,3,2,down,2021-10-07 13:53:32.273909-07:00,"(4.0, 4.0)",152.222
241,nav,3,2,down,2021-10-07 13:53:32.408836-07:00,"(4.0, 5.0)",134.927
242,nav,3,2,down,2021-10-07 13:53:32.547110-07:00,"(4.0, 6.0)",138.274
243,nav,3,2,down,2021-10-07 13:53:32.706429-07:00,"(4.0, 7.0)",159.319
244,nav,3,2,right,2021-10-07 13:53:32.883295-07:00,"(5.0, 7.0)",176.86599999999999
245,nav,3,2,right,2021-10-07 13:53:33.039871-07:00,"(6.0, 7.0)",156.576
246,nav,3,3,start,2021-10-07 13:53:34.126836-07:00,"(1.0, 1.0)",0
247,nav,3,3,right,2021-10-07 13:53:34.709182-07:00,"(2.0, 1.0)",582.346
248,nav,3,3,right,2021-10-07 13:53:34.887990-07:00,"(3.0, 1.0)",178.808
249,nav,3,3,right,2021-10-07 13:53:34.986485-07:00,"(4.0, 1.0)",98.495
250,nav,3,3,down,2021-10-07 13:53:35.331995-07:00,"(4.0, 2.0)",345.51
251,nav,3,3,down,2021-10-07 13:53:35.483028-07:00,"(4.0, 3.0)",151.033
252,nav,3,3,down,2021-10-07 13:53:35.620828-07:00,"(4.0, 4.0)",137.8
